"","GEOID","count","area","density"
"1786","36047068000",2,1817783.30865479,1.10024115111941e-06
"1787","36047068200",0,2176848.69418335,0
"1788","36047068600",4,1592924.36076355,2.51110479475789e-06
"1789","36047068800",0,1686416.95269775,0
"1790","36047069000",3,1861628.93014526,1.61149193129799e-06
"1791","36047069200",2,1952887.63735962,1.02412446150977e-06
"1792","36047069601",4,4532240.13005066,8.82565769955196e-07
"1793","36047069800",8,5428369.48725891,1.47373903319902e-06
"1794","36047070000",2,2177086.05641174,9.18659138029843e-07
"1795","36047070201",2,11085784.7622375,1.80411224184397e-07
"1796","36047070203",0,39753048.7842102,0
"1797","36047072000",3,1701872.00976563,1.762764757153e-06
"1798","36047072200",4,2769417.67907715,1.44434695792544e-06
"1799","36047072400",9,2068970.22628784,4.34999009925235e-06
"1800","36047072600",1,2962944.12466431,3.37502145813599e-07
"1801","36047072800",4,2282665.409729,1.75233741351295e-06
"1802","36047073000",4,1991273.44110107,2.00876480218016e-06
"1803","36047073200",4,1722432.77020264,2.32229673587168e-06
"1804","36047073400",0,1626697.96369934,0
"1805","36047073600",16,1915671.67625427,8.35216190661906e-06
"1806","36047073800",4,1941782.30532837,2.05996315293622e-06
"1807","36047074000",2,1747894.42016602,1.14423387186626e-06
"1808","36047074200",4,1876115.69618225,2.13206467391094e-06
"1809","36047074400",2,1836210.96116638,1.08919946689e-06
"1810","36047074600",9,2171133.92390442,4.14529932995336e-06
"1811","36047074800",5,1900352.04460144,2.63109144129589e-06
"1812","36047075000",2,1866699.22134399,1.07140988603404e-06
"1813","36047075200",2,1864085.14151001,1.072912366213e-06
"1814","36047075400",3,1867167.87890625,1.60671144458491e-06
"1815","36047075600",2,1867819.3291626,1.07076737496697e-06
"1816","36047075800",3,2209765.79524231,1.35760993606611e-06
"1817","36047076000",4,1954536.45646667,2.04652104941088e-06
"1818","36047076200",6,2024074.57751465,2.96431765244904e-06
"1819","36047076400",1,1740194.71592712,5.74648337250715e-07
"1820","36047076600",2,887368.726119995,2.25385450391628e-06
"1821","36047076800",4,3265655.40266418,1.22486897935916e-06
"1822","36047077000",2,1760973.02050781,1.13573574194979e-06
"1823","36047077200",4,4351891.22998047,9.19140619242442e-07
"1824","36047077400",2,1596845.40174866,1.25246939860919e-06
"1825","36047077600",6,2008023.14944458,2.98801336113062e-06
"1826","36047078000",1,1770932.96821594,5.64674111300448e-07
"1827","36047078200",2,1811374.37580872,1.10413398064498e-06
"1828","36047078400",1,1801875.88685608,5.54977180889414e-07
"1829","36047078601",7,930777.274002075,7.52059616786947e-06
"1830","36047078602",2,903520.485351563,2.2135635355537e-06
"1831","36047078801",5,1000835.17596436,4.99582760486233e-06
"1832","36047078802",0,688601.553390503,0
"1833","36047079001",0,651088.476959229,0
"1834","36047079002",1,1318503.26544189,7.58435740138159e-07
"1835","36047079201",0,1170145.8731842,0
"1836","36047079202",1,1162117.94515991,8.6049785580275e-07
"1837","36047079400",2,2391961.76296997,8.36133767254167e-07
"1838","36047079601",2,1188358.59051514,1.6829936821789e-06
"1839","36047079602",7,1453524.69132996,4.81587966255673e-06
"1840","36047079801",3,1397208.54267883,2.14713831784064e-06
"1841","36047080000",2,1869357.41647339,1.06988635901051e-06
"1842","36047080200",8,1994115.47262573,4.01180378459533e-06
"1843","36047080400",3,2042543.17930603,1.46875719955123e-06
"1844","36047080600",9,1790169.55171204,5.02745675201145e-06
"1845","36047080800",6,3465286.50819397,1.73145856361732e-06
"1846","36047081000",1,1748271.96206665,5.71993386439653e-07
"1847","36047081400",7,1831958.65769958,3.82104692733078e-06
"1848","36047081600",3,1933154.56568909,1.5518676329591e-06
"1849","36047081800",2,1699560.07493591,1.1767751134513e-06
"1850","36047082000",10,1599913.46179199,6.25033805815938e-06
"1851","36047082200",6,1827422.90653992,3.28331224180643e-06
"1852","36047082400",8,2307258.58027649,3.46731834411092e-06
"1853","36047082600",3,2142838.85610962,1.40001194744367e-06
"1854","36047082800",17,1687712.47592163,1.00728057904037e-05
"1855","36047083000",0,2171914.95298767,0
"1856","36047083200",2,1566888.4914093,1.27641501674516e-06
"1857","36047083400",5,1355748.33360291,3.68800010744802e-06
"1858","36047083600",2,2240975.579422,8.92468449172412e-07
"1859","36047083800",0,1796855.84359741,0
"1860","36047084000",1,1830663.25279236,5.46250108246109e-07
"1861","36047084600",2,1778307.47918701,1.12466489817292e-06
"1862","36047084800",0,1479845.49079895,0
"1863","36047085000",0,1556707.68185425,0
"1864","36047085200",0,4276575.30854797,0
"1865","36047085400",1,1385790.11761475,7.21609995113272e-07
"1866","36047085600",3,1700511.63497925,1.76417493317334e-06
"1867","36047085800",2,1488957.95619202,1.3432212720868e-06
"1868","36047086000",6,1879565.35479736,3.19222738634e-06
"1869","36047086200",3,1508724.4724884,1.98843463780499e-06
"1870","36047086400",5,1621224.34518433,3.08408889544001e-06
"1871","36047086600",6,1684237.05178833,3.56244389329232e-06
"1872","36047086800",20,1879388.15162659,1.0641761246973e-05
"1873","36047087000",4,1676352.35113525,2.38613320003467e-06
"1874","36047087200",1,1583318.14752197,6.31585004924681e-07
"1875","36047087401",2,1405622.88290405,1.42285674509507e-06
"1876","36047087600",4,1530933.262146,2.61278535054687e-06
"1877","36047087800",0,1629553.12380981,0
"1878","36047088001",4,874304.813354492,4.57506345487564e-06
"1879","36047088002",7,1088856.50256348,6.42876263632535e-06
"1880","36047088200",3,2188028.20170593,1.37109750123925e-06
"1881","36047088400",3,1797772.88726807,1.66873136270225e-06
"1882","36047088600",19,1935334.14358521,9.81742613438446e-06
"1883","36047088800",19,2166355.63551331,8.77048979794955e-06
"1884","36047089000",11,2672111.43788147,4.11659478121209e-06
"1885","36047089200",16,1932423.73664856,8.27975753793478e-06
"1886","36047089400",1,1853454.07374573,5.39533195974505e-07
"1887","36047089600",2,1605933.79388428,1.24538135234242e-06
"1888","36047089800",2,1661400.05905151,1.20380397791836e-06
"1889","36047090000",4,2645339.75416565,1.51209310399587e-06
"1890","36047090200",4,2051102.85372925,1.95017036455648e-06
"1891","36047090600",2,2107750.76670837,9.48878791358884e-07
"1892","36047090800",10,3194827.5067749,3.13005944101651e-06
"1893","36047091000",6,2281443.73023987,2.62991364655273e-06
"1894","36047091200",4,1800466.62387085,2.2216462926707e-06
"1895","36047091600",5,2321085.56010437,2.15416445043722e-06
"1896","36047091800",0,2256021.20135498,0
"1897","36047092000",11,2554843.41537476,4.30554762526863e-06
"1898","36047092400",11,2709111.04063416,4.06037251150291e-06
"1899","36047093000",5,2090418.86390686,2.39186513589689e-06
"1900","36047093200",4,3018449.49411011,1.32518367718432e-06
"1901","36047093800",1,1411409.93025208,7.08511381821863e-07
"1902","36047094401",17,3906963.05844116,4.35120571802459e-06
"1903","36047094402",0,1150874.28598022,0
"1904","36047094600",3,3110120.37440491,9.64592889937265e-07
"1905","36047095000",6,2612150.90563965,2.29695764783189e-06
"1906","36047095600",3,2557814.04940796,1.17287650394069e-06
"1907","36047095800",1,2523362.20550537,3.96296654447087e-07
"1908","36047096200",3,1920737.91133118,1.56189971692745e-06
"1909","36047096400",3,1900792.38876343,1.57828914811242e-06
"1910","36047096600",5,1950813.5884552,2.56303320296194e-06
"1911","36047096800",4,1603786.87373352,2.49409698103355e-06
"1912","36047097000",2,1759315.56851196,1.13680571910792e-06
"1913","36047097400",3,2712076.61346436,1.10616344136674e-06
"1914","36047098200",4,3723765.59588623,1.07418146953689e-06
"1915","36047098400",5,1214786.5960083,4.11594926749244e-06
"1916","36047098600",4,1677791.73110962,2.38408613288049e-06
"1917","36047098800",6,1743233.07516479,3.44188054109334e-06
"1918","36047099000",6,1762100.75512695,3.40502663229818e-06
"1919","36047099200",2,1448961.15209961,1.38029925585093e-06
"1920","36047099400",3,1872516.8416748,1.60212177174159e-06
"1921","36047100400",4,1421504.28201294,2.81392047186502e-06
"1922","36047100600",1,1637144.02667236,6.10819807975349e-07
"1923","36047100800",0,1602833.09040833,0
"1924","36047101000",4,1844400.80375671,2.16872601218386e-06
"1925","36047101200",1,1730658.08007813,5.77814885280434e-07
"1926","36047101400",0,1668038.39204407,0
"1927","36047101600",0,1210060.23603821,0
"1928","36047101800",5,2623263.45855713,1.90602281432691e-06
"1929","36047102000",1,1690995.00915527,5.91367800960895e-07
"1930","36047102200",1,1752586.49301147,5.7058524870958e-07
"1931","36047102400",2,1540219.30844116,1.29851637947857e-06
"1932","36047102600",1,1462012.27581787,6.83988784868845e-07
"1933","36047102801",6,1660819.64823914,3.6126740229509e-06
"1934","36047102802",298,7231596.32255554,4.12080523729636e-05
"1935","36047103401",6,1895802.64862061,3.16488638960686e-06
"1936","36047103402",104,4320501.52360535,2.40712795567341e-05
"1937","36047105801",38,4481506.73323059,8.47929106481714e-06
"1938","36047107001",220,13115559.9871368,1.67739692560414e-05
"1939","36047107003",14,2363049.49501038,5.92454793247507e-06
"1940","36047107800",5,5449475.79046631,9.1751944448443e-07
"1941","36047109800",28,9191425.27940369,3.04631753496848e-06
"1942","36047110400",48,7985790.25494385,6.01067627218034e-06
"1943","36047110600",4,1841331.87640381,2.17234060370049e-06
"1944","36047111000",1,1348388.77256775,7.41625872555799e-07
"1945","36047111600",15,5375937.07139587,2.7902112321611e-06
"1946","36047112200",3,1747124.22714233,1.71710743483131e-06
"1947","36047112400",2,1914338.80235291,1.04474714587711e-06
"1948","36047112600",3,1813472.03366089,1.65428522983277e-06
"1949","36047112800",3,1982798.03138733,1.51301340454779e-06
"1950","36047113000",4,2086280.69841003,1.91728754574992e-06
"1951","36047113200",12,2109760.02893066,5.68785067280009e-06
"1952","36047113400",3,1651198.13064575,1.81686252202015e-06
"1953","36047114201",106,3227054.22750854,3.2847294320752e-05
"1954","36047114202",0,1286732.38726807,0
